Número do Processo,Localização Atual,Foro,Vara,Controle,Classe,Assunto,Distribuição,reu_preso,Relatório Final,Denúncia,Defesa Prévia,Razões de Apelação,Contrarrazões de Apelação,Sigilo,e-SAJ
1502203-70.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000296,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-13,True,2026-02-23,2026-02-23,2026-03-31,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003JG0000&processo.numero=1502203-70.2026.8.26.0446
1500571-91.2026.8.26.0451,13º Promotor de Justiça de Piracicaba,Foro de Piracicaba,Vara do Juizado Especial Cível e Criminal,2026/000104,Termo Circunstanciado,Ameaça,2026-02-11,False,,2026-05-07,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XNUR0000&processo.numero=1500571-91.2026.8.26.0451
1502097-11.2026.8.26.0446,17º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000288,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-03,False,2026-02-20,2026-02-24,2026-05-26,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003G80000&processo.numero=1502097-11.2026.8.26.0446
1502102-33.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000314,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-16,True,2026-02-19,2026-02-24,,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003GD0000&processo.numero=1502102-33.2026.8.26.0446
1500548-48.2026.8.26.0451,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000167,Ação Penal - Procedimento Ordinário,Crime de Descumprimento de Medida Protetiva  de Urgência,2026-02-09,True,2026-02-20,2026-02-23,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CJ000XNQ60000&processo.numero=1500548-48.2026.8.26.0451
1501930-91.2026.8.26.0446,11º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000368,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-25,True,2026-03-06,2026-03-06,2026-05-05,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003BI0000&processo.numero=1501930-91.2026.8.26.0446
1501873-73.2026.8.26.0446,9º Promotor de Justiça de Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2026/000292,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-13,True,2026-02-23,2026-02-24,2026-04-14,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE000039T0000&processo.numero=1501873-73.2026.8.26.0446
1500280-35.2026.8.26.0599,18º Promotor de Justiça de Piracicaba,Foro de Piracicaba,4ª Vara Criminal,2026/000165,Ação Penal - Procedimento Ordinário,Lesão Cometida em Razão da Condição de Mulher,2026-02-08,True,2026-02-09,2026-02-11,,,,Restrito,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JRM0000&processo.numero=1500280-35.2026.8.26.0599
1500262-14.2026.8.26.0599,6º Promotor de Justiça de Piracicaba,Foro de Piracicaba,1ª Vara Criminal,2026/000403,Inquérito Policial,Tráfico de Drogas e Condutas Afins,2026-03-30,True,2026-03-05,2026-03-09,2026-05-29,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=GN0004JR00000&processo.numero=1500262-14.2026.8.26.0599
1501818-25.2026.8.26.0446,7º Promotor de Justiça de Piracicaba,Foro de Piracicaba,3ª Vara Criminal,2026/000267,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,2026-03-09,True,2026-02-19,2026-02-20,2026-04-14,,,Público,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=CE00003840000&processo.numero=1501818-25.2026.8.26.0446
